"date","new_cases","new_deaths","people_vaccinated","population","avg_cases","avg_deaths","vacc_rate"
2021-05-10,158,1,2985359,10167923,351.035714285714,2.21428571428571,0.293605586903048
2021-05-11,268,1,3044220,10167923,356.285714285714,2.21428571428571,0.299394478105312
2021-05-12,485,4,3097464,10167923,365.285714285714,2.14285714285714,0.304630945769357
2021-05-13,436,1,3150746,10167923,372.5,2,0.309871150676495
2021-05-14,450,0,3203646,10167923,381.785714285714,1.92857142857143,0.3150737864557
2021-05-15,469,7,3227295,10167923,392.464285714286,1.92857142857143,0.317399630189961
2021-05-16,334,1,3233317,10167923,399.821428571429,1.82142857142857,0.317991884871669
2021-05-17,199,2,3293001,10167923,405.964285714286,1.78571428571429,0.323861716891444
2021-05-18,386,2,3340776,10167923,412.75,1.85714285714286,0.328560316595631
2021-05-19,511,2,3396711,10167923,420.464285714286,1.82142857142857,0.334061440079749
2021-05-20,451,1,3449458,10167923,429.214285714286,1.67857142857143,0.33924902853808
2021-05-21,559,3,3503865,10167923,439.357142857143,1.67857142857143,0.344599875510466
2021-05-22,523,0,3553205,10167923,449.642857142857,1.46428571428571,0.349452390620975
2021-05-23,413,0,3589734,10167923,458.607142857143,1.17857142857143,0.353044963066695
2021-05-24,241,1,3623138,10167923,471,1.14285714285714,0.356330196442282
2021-05-25,375,3,3666660,10167923,481.535714285714,1.07142857142857,0.360610519965582
2021-05-26,594,1,3716140,10167923,491.25,0.964285714285714,0.365476803866434
2021-05-27,572,0,3760533,10167923,510.214285714286,1,0.369842788935361
2021-05-28,598,1,3802392,10167923,516.964285714286,0.964285714285714,0.373959558899099
2021-05-29,609,0,3841774,10167923,514.142857142857,0.964285714285714,0.377832719622287
2021-05-30,445,0,3875886,10167923,523.035714285714,1.14285714285714,0.381187583737603
2021-05-31,435,2,3905156,10167923,535.392857142857,1.25,0.384066244404093
2021-06-01,445,0,3937211,10167923,548.607142857143,1.21428571428571,0.387218805649885
2021-06-02,724,1,3978851,10167923,567.142857142857,1.10714285714286,0.391314037291588
2021-06-03,769,3,4032041,10167923,589.785714285714,1.28571428571429,0.396545194136502
2021-06-04,430,0,4073900,10167923,599.035714285714,1.5,0.40066196410024
2021-06-05,573,3,4122947,10167923,602.642857142857,1.53571428571429,0.405485663099534
2021-06-06,612,2,4158777,10167923,618.428571428571,1.64285714285714,0.409009489942046
2021-06-07,388,2,4192718,10167923,634.571428571429,1.64285714285714,0.412347536463445
2021-06-08,598,1,4245723,10167923,660.214285714286,1.64285714285714,0.417560498835406
2021-06-09,890,0,4307325,10167923,701.428571428571,1.89285714285714,0.423618963282865
2021-06-10,910,6,4372702,10167923,740.357142857143,2.03571428571429,0.430048693327044
2021-06-11,519,1,4446820,10167923,787.928571428571,2.14285714285714,0.437338087631073
2021-06-12,789,1,4477574,10167923,840.714285714285,2.21428571428571,0.440362697475187
2021-06-13,707,2,4542581,10167923,874.25,2.17857142857143,0.446756038573463
2021-06-14,625,0,4581487,10167923,899.142857142857,2.25,0.450582385409488
2021-06-15,973,2,4638934,10167923,927.357142857143,2.46428571428571,0.456232211829299
2021-06-16,1350,6,4689651,10167923,964.107142857143,2.75,0.461220152827672
2021-06-17,1233,2,4751368,10167923,1008.85714285714,2.71428571428571,0.467289927352912
2021-06-18,1298,4,4849792,10167923,1070.67857142857,2.60714285714286,0.476969780357306
